GEOID,Geographic Area Name,Total_Number_Households,Median income_Households,Median income (dollars)_White,Median income_Black or African American,Median income_American Indian and Alaska Native,Median income_Asian,Median income_Native Hawaiian and Other Pacific Islander,Median income_Some other race,Median income_Two or more races,Median income_Hispanic or Latino origin (of any race),"Median income_White alone, not Hispanic or Latino",Total_Workers,Total_Workers_Median age (years),Public transportation_popu,"Public transportation_$1 to $9,999 or loss","Public transportation_$10,000 to $14,999","Public transportation_$15,000 to $24,999","Public transportation_$25,000 to $34,999","Public transportation_$35,000 to $49,999","Public transportation_$50,000 to $64,999","Public transportation_$65,000 to $74,999","Public transportation_$75,000 or more",Public transportation_Median earnings (dollars),Public transportation_ whom poverty status is determined,Public transportation_Below 100 percent of the poverty level,Public transportation_100 to 149 percent of the poverty level,Public transportation_At or above 150 percent of the poverty level,Public transportation_Workers 16 years and over who did not work from home,Public transportation_ DEPARTURE TO WORK_12:00 a.m. to 4:59 a.m.,Public transportation _DEPARTURE TO WORK_5:00 a.m. to 5:29 a.m.,Public transportation _DEPARTURE TO WORK_5:30 a.m. to 5:59 a.m.,Public transportation _DEPARTURE TO WORK_6:00 a.m. to 6:29 a.m.,Public transportation _DEPARTURE TO WORK_6:30 a.m. to 6:59 a.m.,Public transportation _DEPARTURE TO WORK_7:00 a.m. to 7:29 a.m.,Public transportation _DEPARTURE TO WORK_7:30 a.m. to 7:59 a.m.,Public transportation _DEPARTURE TO WORK_8:00 a.m. to 8:29 a.m.,Public transportation _DEPARTURE TO WORK_8:30 a.m. to 8:59 a.m.,Public transportation _DEPARTURE TO WORK_9:00 a.m. to 11:59 p.m.,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Less than 10 minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!10 to 14 minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!15 to 19 minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!20 to 24 minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!25 to 29 minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!30 to 34 minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!35 to 44 minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!45 to 59 minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!60 or more minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes)
36047007400,Census Tract 74; Kings County; New York,1546,70508,68889,0,0,65000,0,68300,90867,71574,69167,2493,38.6,1348,10.1,2.2,19.3,31.5,14.2,7.6,1.2,13.9,27523,1348,6.4,5.4,88.2,1348,3.6,0.2,2.4,2.7,0.7,25.4,4.5,24.6,8.4,27.4,0,0,1.4,5,1.1,16.7,6.7,40.8,28.3,N
36047007500,Census Tract 75; Kings County; New York,2182,150854,182571,0,0,0,0,0,0,0,177656,3055,42.8,1415,3,0,2.8,4.2,6.6,15.1,2.3,65.9,103681,1415,3,0,97,1415,0,0,1.3,3.5,1,17.5,11.8,17.1,20.2,27.5,0,0,0,11.3,1.1,26.4,24.9,11.9,24.4,N
36047007600,Census Tract 76; Kings County; New York,1277,57147,55673,0,0,81629,0,44005,"250,000",46071,0,2033,37,1228,8.3,8.4,15.8,25,15,8.9,2.9,15.8,32850,1228,15.1,11.8,73,1228,0,0,0,1.8,1.1,26.2,13.3,30,3.3,24.3,0,0,0,4.5,0,23.9,20.7,27.9,23,N
36047007700,Census Tract 77; Kings County; New York,2621,199067,215156,0,0,199331,0,0,179826,0,216719,3236,41.7,1549,2.5,0,3.6,1.7,0.8,8.3,6.3,76.9,129363,1549,0,2.1,97.9,1549,1.5,0,0,3.4,13.5,2.5,9.2,17.3,16.8,35.8,0,0,1.5,3.2,2.8,18.3,32.7,23.4,18,N
36047007800,Census Tract 78; Kings County; New York,1544,66029,95075,100652,0,90972,0,49891,0,45509,106154,2493,39.3,1201,4.9,4.5,21.8,18.6,21.6,12,2.7,13.9,35160,1201,12,11.1,76.9,1201,0,3.7,0.8,5.5,3.8,27.1,3.2,13.6,5.3,36.9,1.2,0,2.1,2.7,10.7,6.7,11.5,24,41.2,N
36047008000,Census Tract 80; Kings County; New York,1348,75125,95650,94653,0,58594,0,38192,0,64375,96442,1667,40.2,822,9.2,0.9,26.5,13.3,17.4,6.3,4.3,22.1,35076,822,5.7,3.3,91,822,0,0,3.5,0,2.8,40.5,1.5,15,5.5,31.3,0,0,2.8,1.2,0,13.3,17.4,23.2,42.1,N
36047008200,Census Tract 82; Kings County; New York,1417,44013,76250,0,0,0,0,43487,30319,32117,93281,1819,39.3,1158,10.7,1.6,11,20.4,12.4,15,8.1,20.7,45133,1158,12,9.7,78.3,1158,0,0,3.4,10.6,10.4,19.5,7.6,18.2,8.4,21.9,0,0,1.5,2.7,7.6,13.6,8.4,28.3,38,N
36047008400,Census Tract 84; Kings County; New York,1195,97232,109506,203250,0,0,0,58750,0,78083,145743,2106,40.8,1252,5.3,12,1.3,27.5,15.7,8.1,4.7,25.5,37155,1252,5.8,2.6,91.6,1252,3.5,0,0,15.9,2.1,8.4,10.5,10.7,1.3,47.6,0,0,0.7,0.8,4.6,21.1,20.4,26.4,26,N
36047008500,Census Tract 85; Kings County; New York,3051,21988,14683,27754,0,30341,0,20608,11796,16767,0,2022,38.8,749,17.8,8.9,23.2,10,17.8,16.4,5.9,0,30063,749,13.2,29.1,57.7,749,17.9,15,0,3.1,0.8,17.6,5.9,14.6,0,25.2,0,0,0,0,0,20.7,21.9,27.8,29.6,N
36047008600,Census Tract 86; Kings County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36047008800,Census Tract 88; Kings County; New York,1182,64741,107708,77353,0,57656,0,23854,95800,38816,102125,1313,45.3,731,12.7,4.7,18.7,6.3,7.5,14.9,4.4,30.8,50031,731,1.1,20.1,78.8,731,7.4,2.7,0,8.3,2.3,19.7,0,18.6,15.5,25.4,0,0,0,0,0.8,14,5.9,17.6,61.7,N
36047009001,Census Tract 90.01; Kings County; New York,461,44026,38886,0,0,48875,0,69669,0,0,39671,676,39.6,353,11,7.6,12.7,31.2,5.7,25.5,2,4.2,28550,353,10.2,18.7,71.1,353,14.4,9.1,2.5,7.4,0,3.7,4.8,1.7,18.7,37.7,2.8,0,0,6.5,0,1.4,9.9,39.9,39.4,N
36047009002,Census Tract 90.02; Kings County; New York,442,49565,0,0,0,40375,0,57894,0,58361,0,535,40.9,351,5.4,6.3,2.8,36.8,13.4,16.2,0.9,18.2,31917,351,5.4,27.4,67.2,351,0,4.3,2,5.1,5.4,12,31.9,13.7,0,25.6,0,0,0,0,22.2,0,29.9,10,37.9,N
36047009201,Census Tract 92.01; Kings County; New York,539,76688,152850,0,0,55167,0,71154,0,0,152550,937,43.1,401,2.5,23.9,8.7,6,6.5,14.5,9.7,28.2,53533,401,10.2,0,89.8,401,0,3.7,1.2,6.7,12.5,0,0,35.2,3.7,36.9,0,0,0,1.5,8.2,10.7,30.4,14.2,34.9,N
36047009202,Census Tract 92.02; Kings County; New York,1186,52775,127647,0,0,37627,0,31250,87542,53997,146750,1649,43.7,862,3.9,8.8,17.4,27,12.5,13.1,0,17.2,33297,862,4.9,9.9,85.3,862,6.1,0,0,3.1,3.7,27.1,10.3,16.5,4.9,28.2,0,3.5,2.8,4.2,6.6,5.1,11.1,38.2,28.5,N
36047009401,Census Tract 94.01; Kings County; New York,571,47104,0,0,0,61429,0,0,0,37500,0,855,38,434,13.1,20.5,19.4,18.9,7.8,6.5,0,13.8,22833,434,28.8,21.9,49.3,434,0,0,0,0,4.6,14.5,15.9,18.4,18.2,28.3,0,4.8,0,13.4,0,0,5.5,32.9,43.3,N
